Name,Gender,Age,Salary,LocationId,Churned,AccountId,Tenure,Balance,NumProducts,HasCreditCard,IsActive,Geography_France,Geography_Germany,Geography_Spain,Geography_UK,Geography_USA
Hargrave,0,42,101348.88,2,1,A15634602SID,2,119827.49379288737,1,1,1,1,0,0,0,0
Hill,0,41,112542.58,6,0,A15647311SID,1,83807.86,1,0,1,0,0,0,0,1
Onio,0,42,113931.57,4,1,A15619304SID,8,159660.8,3,1,0,0,0,0,1,0
Boni,0,39,93826.63,1,0,A15701354SID,1,119827.49379288737,2,0,0,0,1,0,0,0
Mitchell,0,43,79084.1,4,0,A15737888SID,2,125510.82,1,1,1,0,0,0,1,0
Chu,1,44,149756.71,1,1,A15574012SID,8,113755.78,2,1,0,0,1,0,0,0
Bartlett,1,50,10062.8,5,0,A15592531SID,7,119827.49379288737,2,1,1,0,0,0,0,0
Obinna,0,29,119346.88,1,1,A15656148SID,4,115046.74,4,1,0,0,1,0,0,0
He,1,44,74940.5,5,0,A15792365SID,4,142051.07,2,0,1,0,0,0,0,0
H?,1,27,71725.73,4,0,A15592389SID,2,134603.88,1,1,1,0,0,0,1,0
Bearce,1,31,80181.12,4,0,A15767821SID,6,102016.72,2,0,0,0,0,0,1,0
Andrews,1,24,76390.01,1,0,A15737173SID,3,119827.49379288737,2,1,0,0,1,0,0,0
Kay,0,34,26260.98,5,0,A15632264SID,10,119827.49379288737,2,1,0,0,0,0,0,0
Chin,0,25,190857.79,5,0,A15691483SID,5,119827.49379288737,2,0,0,0,0,0,0,0
Scott,0,35,65951.65,1,0,A15600882SID,7,119827.49379288737,2,1,1,0,1,0,0,0
Goforth,1,45,64327.26,5,0,A15643966SID,3,143129.41,2,0,1,0,0,0,0,0
Romeo,1,58,5097.67,4,1,A15737452SID,1,132602.88,1,1,0,0,0,0,1,0
Henderson,0,24,14406.41,2,0,A15788218SID,9,119827.49379288737,2,1,1,1,0,0,0,0
Muldrow,1,45,158684.81,2,0,A15661507SID,6,119827.49379288737,1,0,0,1,0,0,0,0
Hao,0,24,54724.03,2,0,A15568982SID,6,119827.49379288737,2,1,1,1,0,0,0,0
McDonald,1,41,170886.17,5,0,A15577657SID,8,119827.49379288737,2,1,1,0,0,0,0,0
Dellucci,0,32,138555.46,2,0,A15597945SID,8,119827.49379288737,2,1,0,1,0,0,0,0
Gerasimov,0,38,118913.53,2,1,A15699309SID,4,119827.49379288737,1,1,0,1,0,0,0,0
Mosman,1,46,8487.75,4,0,A15725737SID,3,119827.49379288737,2,0,1,0,0,0,1,0
Yen,0,38,187616.16,2,0,A15625047SID,5,119827.49379288737,1,1,1,1,0,0,0,0
Maclean,1,25,124508.29,6,0,A15738191SID,3,119827.49379288737,2,0,1,0,0,0,0,1
Young,1,36,170041.95,1,0,A15736816SID,2,136815.64,1,1,1,0,1,0,0,0
Nebechi,1,44,38433.35,6,0,A15700772SID,9,119827.49379288737,2,0,0,0,0,0,0,1
McWilliams,0,43,100187.43,1,0,A15728693SID,3,141349.43,1,1,1,0,1,0,0,0
Lucciano,1,29,53483.21,4,0,A15656300SID,0,59697.17,2,1,1,0,0,0,1,0
Azikiwe,0,39,140469.38,4,1,A15589475SID,3,119827.49379288737,3,1,0,0,0,0,1,0
Odinakachukwu,1,36,156731.91,2,0,A15706552SID,7,85311.7,1,0,1,1,0,0,0,0
Sanderson,1,41,81898.81,2,0,A15750181SID,9,110112.54,2,0,0,1,0,0,0,0
Maggard,0,42,34410.55,3,0,A15659428SID,6,119827.49379288737,2,1,1,0,0,1,0,0
Clements,0,29,142033.07,3,0,A15732963SID,9,119827.49379288737,2,1,1,0,0,1,0,0
Lombardo,0,45,27822.99,5,1,A15794171SID,0,134264.04,1,1,0,0,0,0,0,0
Watson,1,31,114066.77,3,0,A15788448SID,3,145260.23,1,0,1,0,0,1,0,0
Lorenzo,1,33,98453.45,5,0,A15729599SID,7,76548.6,1,0,1,0,0,0,0,0
Armstrong,1,36,40812.9,2,0,A15717426SID,7,119827.49379288737,1,1,1,1,0,0,0,0
Cameron,1,41,178074.04,3,0,A15585768SID,6,70349.48,2,0,1,0,0,1,0,0
Hsiao,1,40,70154.22,4,0,A15619360SID,4,119827.49379288737,1,1,0,0,0,0,1,0
Clarke,0,51,181297.65,6,1,A15738148SID,8,122522.32,1,0,0,0,0,0,0,1
Osborne,0,61,94153.83,2,0,A15687946SID,2,117419.35,1,1,1,1,0,0,0,0
Lavine,0,49,194365.76,3,1,A15755196SID,2,131394.56,1,0,0,0,0,1,0,0
Bianchi,0,61,158338.39,4,0,A15684171SID,5,155931.11,1,1,1,0,0,0,1,0
Tyler,0,32,126517.46,2,0,A15754849SID,4,109421.13,2,1,1,1,0,0,0,0
Martin,0,27,119708.21,1,1,A15602280SID,9,112045.67,1,1,1,0,1,0,0,0
Okagbue,0,39,117622.8,2,1,A15771573SID,9,137843.8,1,1,1,1,0,0,0,0
Yin,1,38,90878.13,4,0,A15766205SID,2,103391.38,1,0,1,0,0,0,1,0
Buccho,0,37,194099.12,4,0,A15771873SID,2,103769.22,2,1,0,0,0,0,1,0
Chidiebele,1,44,198059.16,1,0,A15616550SID,10,116363.37,2,1,0,0,1,0,0,0
Trevisani,1,36,86424.57,4,0,A15768193SID,5,146050.97,2,0,0,0,0,0,1,0
O'Brien,0,33,116978.19,6,0,A15683553SID,5,119827.49379288737,2,0,0,0,0,0,0,1
Parkhill,1,41,164040.94,5,1,A15702298SID,8,125561.97,1,0,0,0,0,0,0,0
Yoo,1,42,40014.76,3,1,A15569590SID,1,98495.72,1,1,0,0,0,1,0,0
Phillipps,1,43,113410.49,1,0,A15760861SID,1,125211.92,1,1,1,0,1,0,0,0
Tsao,1,45,87107.57,1,0,A15630053SID,5,127864.4,1,1,0,0,1,0,0,0
Endrizzi,1,19,45613.75,1,0,A15647091SID,0,75888.2,1,0,0,0,1,0,0,0
T'ien,0,66,1643.11,3,1,A15623944SID,4,119827.49379288737,1,1,0,0,0,1,0,0
Velazquez,1,51,46775.28,3,0,A15804771SID,4,40685.92,1,1,1,0,0,1,0,0
Hunter,1,35,84509.57,1,0,A15651280SID,5,136857.0,1,0,0,0,1,0,0,0
Clark,0,27,126494.82,4,0,A15773469SID,9,152328.88,2,0,0,0,0,0,1,0
Jeffrey,1,33,178798.13,1,0,A15702014SID,1,56084.69,2,0,0,0,1,0,0,0
Pirozzi,1,56,99398.36,1,0,A15751208SID,8,78707.16,1,1,1,0,1,0,0,0
Jackson,1,26,92840.67,6,0,A15592461SID,4,109166.37,1,1,1,0,0,0,0,1
Hammond,0,36,27758.36,2,0,A15789484SID,6,169831.46,2,1,1,1,0,0,0,0
Brownless,0,34,110431.51,2,0,A15696061SID,1,101633.04,1,1,0,1,0,0,0,0
Chibugo,1,43,196673.28,4,0,A15641582SID,10,123180.01,2,1,1,0,0,0,1,0
Glauert,0,35,113656.85,2,0,A15638424SID,5,150725.53,2,0,1,1,0,0,0,0
Pisano,0,21,18203.0,4,0,A15755648SID,8,98373.26,1,1,0,0,0,0,1,0
Konovalova,1,58,28373.86,3,1,A15703793SID,2,133745.44,4,1,0,0,0,1,0,0
McKee,1,29,33953.87,6,0,A15620344SID,6,119827.49379288737,1,1,0,0,0,0,0,1
Palermo,0,37,44203.55,2,0,A15812518SID,0,163607.18,1,0,1,1,0,0,0,0
Ballard,0,25,58426.81,6,0,A15779052SID,5,157780.84,2,1,1,0,0,0,0,1
Wallace,1,36,145562.4,2,0,A15770811SID,9,119827.49379288737,2,0,1,1,0,0,0,0
Cavenagh,0,21,22388.0,2,0,A15780961SID,1,178718.19,2,1,0,1,0,0,0,0
Hu,1,55,139161.64,4,0,A15614049SID,8,119827.49379288737,2,1,1,0,0,0,1,0
Read,0,32,148210.64,4,0,A15662085SID,9,119827.49379288737,1,1,1,0,0,0,1,0
Bushell,1,33,194239.63,6,0,A15575185SID,5,77253.22,1,0,1,0,0,0,0,1
Postle,0,41,98301.61,5,0,A15803136SID,10,122189.66,2,1,0,0,0,0,0,0
Buley,0,34,171413.66,2,0,A15706021SID,1,96645.54,2,0,0,1,0,0,0,0
Leonard,0,32,136458.19,4,1,A15663706SID,2,119827.49379288737,1,1,0,0,0,0,1,0
Mills,0,36,26019.59,6,0,A15641732SID,3,119827.49379288737,2,0,0,0,0,0,0,1
